x,y
33.46500959,24.18334606
57.30149452,37.79960527
63.5971776,50.06275027
74.30620568,77.17031334
52.78320613,69.54569502
80.85985041,93.00530004
62.81691663,76.03117701
54.55543355,51.10755614
33.64923104,37.85359401
19.42866675,44.52350614
38.22305546,53.26348946
19.44799202,74.94535516
-7.597712188,91.65644846
-15.78545567,77.57084013
-40.55387797,53.24119079
-12.99335816,29.27044784
13.55468939,47.71168357
16.64949557,19.09042964
16.26894585,3.706313473
-1.498549921,-2.860962395
-15.34717425,2.119149472
-7.599377769,16.89777875
-13.50711449,40.13364979
-27.9669546,59.19372638
-36.5596054,80.4804499
-54.98974503,68.10266235
-31.57463337,55.65817913
-33.0498298,42.88668364
-6.530862751,4.912067072
-33.50997361,4.481107603
-60.07810638,-52.22817853
-73.00858106,-81.11355935
-54.41748386,-97.94120712
-31.52681177,-82.52630397
-49.98749329,-105.3418957
-70.08070725,-77.45069426
-53.63723284,-73.81940621
-76.68921314,-74.82151757
-59.02719512,-81.63116604
-73.33309164,-69.45984022
-87.13334888,-60.09483563
-106.4544807,-56.37742998
-102.7432562,-47.98660286
-98.32940137,-43.10853912
